bucket,decls,missing,consumers,path
IMPLEMENT,62,57,15,include/uft/ride/uft_flux_decoder.h
IMPLEMENT,54,53,3,include/uft/fs/uft_cbm_fs.h
IMPLEMENT,51,50,1,include/uft/fs/uft_cpm_fs.h
IMPLEMENT,42,38,5,include/uft/fs/uft_atari_dos.h
IMPLEMENT,43,36,15,include/uft/uft_hardware.h
IMPLEMENT,32,29,1,include/uft/uft_public_api.h
IMPLEMENT,33,28,3,include/uft/hal/uft_supercard.h
IMPLEMENT,32,27,40,include/uft/uft_platform.h
IMPLEMENT,24,23,1,include/uft/ride/uft_dos_recognition.h
IMPLEMENT,23,22,6,include/uft/core/uft_integration.h
IMPLEMENT,24,22,2,include/uft/uft_crc_polys.h
IMPLEMENT,22,20,1,include/uft/fs/uft_bbc_fs.h
IMPLEMENT,20,19,1,include/uft/ir/uft_ir_serialize.h
IMPLEMENT,21,19,2,include/uft/formats/ipf/uft_ipf.h
IMPLEMENT,23,19,18,include/uft/formats/uft_fat12.h
IMPLEMENT,23,19,3,include/uft/hal/uft_hal_v3.h
IMPLEMENT,19,18,10,include/uft/core/uft_sector.h
IMPLEMENT,19,18,3,include/uft/formats/uft_86f.h
IMPLEMENT,21,18,3,include/uft/c64/uft_cbm_disk.h
IMPLEMENT,21,18,1,include/uft/decoder/uft_format_hints.h
IMPLEMENT,22,18,6,include/uft/uft_integration.h
IMPLEMENT,22,18,1,include/uft/core/uft_logging_v2.h
IMPLEMENT,18,17,1,include/uft/uft_parallel.h
IMPLEMENT,18,17,1,include/uft/uft_protection_pipeline.h
IMPLEMENT,20,17,3,include/uft/fs/uft_fat32.h
IMPLEMENT,17,16,4,include/uft/uft_write_verify.h
IMPLEMENT,16,15,3,include/uft/uft_dmk.h
IMPLEMENT,16,15,1,include/uft/decoder/uft_cell_analyzer.h
IMPLEMENT,16,15,2,include/uft/flux/uft_flux_pll_v20.h
IMPLEMENT,16,15,1,include/uft/flux/uft_woz_parser.h
IMPLEMENT,16,15,3,include/uft/formats/uft_dmk.h
IMPLEMENT,17,15,7,include/uft/core/uft_disk.h
IMPLEMENT,15,14,3,include/uft/uft_applesauce.h
IMPLEMENT,15,14,3,include/uft/flux/uft_pll_pi.h
IMPLEMENT,15,14,3,include/uft/flux/pll/uft_pll_pi.h
IMPLEMENT,16,14,6,include/uft/core/uft_format_registry.h
IMPLEMENT,14,13,3,include/uft/uft_operation_result.h
IMPLEMENT,15,13,9,include/uft/uft_decoder_plugin.h
IMPLEMENT,15,13,1,include/uft/decoder/uft_sector_confidence.h
IMPLEMENT,16,13,11,include/uft/uft_format_detect.h
IMPLEMENT,13,12,20,include/uft/uft_simd.h
IMPLEMENT,14,12,1,include/uft/floppy/uft_floppy_v2.h
IMPLEMENT,15,12,1,include/uft/formats/uft_jv3.h
IMPLEMENT,12,11,1,include/uft/core/uft_crc_v2.h
IMPLEMENT,12,11,3,include/uft/formats/uft_woz.h
IMPLEMENT,11,10,3,include/uft/uft_adaptive_decoder.h
IMPLEMENT,11,10,1,include/uft/flux/uft_libflux_pll_enhanced.h
IMPLEMENT,11,10,3,include/uft/flux/uft_pll_params.h
IMPLEMENT,12,10,1,include/uft/decoder/uft_unified_decoder.h
IMPLEMENT,10,9,3,include/uft/flux/uft_mfm_flux.h
IMPLEMENT,11,9,1,include/uft/uft_io_abstraction.h
IMPLEMENT,11,9,2,include/uft/decoder/uft_fusion.h
IMPLEMENT,10,8,1,include/uft/uft_operations.h
DOCUMENT,47,47,3,include/uft/fs/uft_trsdos.h
DOCUMENT,43,43,3,include/uft/fs/uft_bbc_dfs.h
DOCUMENT,37,37,1,include/uft/uft_hardware_mock.h
DOCUMENT,36,36,1,include/uft/core/uft_json_export.h
DOCUMENT,36,36,2,include/uft/fs/uft_ti99_fs.h
DOCUMENT,34,34,6,include/uft/fs/uft_apple_dos.h
DOCUMENT,34,34,2,include/uft/ml/uft_ml_training_gen.h
DOCUMENT,32,32,3,include/uft/uft_apd_format.h
DOCUMENT,31,31,1,include/uft/uft_forensic_imaging.h
DOCUMENT,30,30,1,include/uft/uft_algorithms.h
DOCUMENT,30,30,3,include/uft/uft_sos_protection.h
DOCUMENT,30,30,2,include/uft/batch/uft_batch.h
DOCUMENT,28,28,6,include/uft/uft_param_bridge.h
DOCUMENT,27,27,3,include/uft/uft_image_db.h
DOCUMENT,27,27,1,include/uft/uft_multirev.h
DOCUMENT,27,27,1,include/uft/uft_multi_decoder.h
DOCUMENT,27,27,1,include/uft/ocr/uft_ocr.h
DOCUMENT,27,27,1,include/uft/hal/internal/uft_nibtools.h
DOCUMENT,26,26,1,include/uft/uft_bit_confidence.h
DOCUMENT,26,26,1,include/uft/uft_config_manager.h
DOCUMENT,26,26,1,include/uft/uft_session.h
DOCUMENT,26,26,2,include/uft/uft_vfs.h
DOCUMENT,26,26,3,include/uft/hal/uft_xum1541.h
DOCUMENT,24,24,1,include/uft/uft_blkid.h
DOCUMENT,24,24,1,include/uft/uft_error_chain.h
DOCUMENT,24,24,2,include/uft/uft_writer_verify.h
DOCUMENT,24,24,1,include/uft/uft_write_transaction.h
DOCUMENT,24,24,5,include/uft/formats/uft_pce.h
DOCUMENT,24,24,1,include/uft/fs/uft_fbasic_fs.h
DOCUMENT,24,24,4,include/uft/params/uft_canonical_params.h
DOCUMENT,23,23,1,include/uft/uft_multi_decode.h
DOCUMENT,23,23,1,include/uft/uft_recovery_advanced.h
DOCUMENT,23,23,3,include/uft/fs/uft_fat_badblock.h
DOCUMENT,22,22,1,include/uft/uft_audit_trail.h
DOCUMENT,22,22,1,include/uft/uft_gui_params_extended.h
